Name,Price,Age,TXNS,Volume,Makers,5m,1h,6h,24h,Liquidity,MCAP
SPORE/SOL SPORE,$0.05695,11d,"13,455","13,455","13,455",0.38%,-3.27%,9.34%,11.28%,$1.4M,$56.9M
VIRTUAL/WETH Virtual Protocol,$4.20,2mo,"22,731","22,731","22,731",-0.56%,-1.85%,-0.97%,-8.78%,$120K,$2.040B
DOGIUS/WETH Dogius Maximus,$0.003273,1d,"2,282","2,282","2,282",17.10%,138%,260%,570%,$266K,$3.0M
VHS /SOL Blockbuster Video,$0.002462,1mo,64,64,64,-0.40%,0.51%,2.09%,-2.72%,$209K,$2.4M
HIPPO/SUI sudeng,$0.01062,3mo,"19,304","19,304","19,304",0.82%,3.06%,4.62%,8.71%,$4.0M,$106.2M
STNG/SOL Sterling AI Bot,$0.0004118,16h,"27,034","27,034","27,034",-6.46%,70.55%,93.55%,432%,$90K,$411K
QAAGAI/WBNB QAAGAI,$0.1268,12d,"1,926","1,926","1,926",-0.46%,-2.48%,11.69%,37.66%,$244K,$12.6M
BULLY/SOL Dolos The Bully,$0.08024,2mo,"10,296","10,296","10,296",-1.35%,-2.67%,10.78%,9.05%,$2.9M,$77.0M
insured/SOL Chaininsured.com insurance agent,$0.0009096,1d,"27,968","27,968","27,968",-3.40%,7.39%,-10.80%,-35.30%,$149K,$909K
BITCAT/WETH Bitcat,$0.003394,1mo,546,546,546,3.01%,3.01%,-0.51%,139%,$20K,$32K
Anon/wS HeyAnon,$4.64,12d,"7,713","7,713","7,713",10.66%,22.63%,40.05%,233%,$917K,$90.2M
GUARD/WETH Guard AI,$0.05970,1h,638,638,638,-19.86%,59.72%,110K%,110K%,$358K,$5.9M
DICKBUTT/WETH Dickbutt,$0.044461,24d,"7,332","7,332","7,332",-0.08%,-1.26%,-3.67%,45.59%,$810K,$4.4M
MAGAGUY/SOL Just a MAGA guy,$0.0002035,1mo,"19,885","19,885","19,885",-13.45%,-27.41%,111%,"3,061%",$65K,$203K
Aimonica/SOL Aimonica Brands,$0.07032,1mo,"18,924","18,924","18,924",1.90%,-10.82%,-4.90%,6.01%,$1.3M,$70.3M
NOVA/SOL AI Shell NOVA,$0.02738,1mo,"20,416","20,416","20,416",0.23%,12.41%,33.38%,4.99%,$831K,$27.3M
MOE/SOL MOE,$0.02169,1mo,"3,694","3,694","3,694",-3.75%,-13.66%,22.90%,26.53%,$788K,$20.5M
Qforge/SOL Quantum Forge Master,$0.003099,2d,"16,418","16,418","16,418",-0.08%,-8.14%,-9.26%,-16.63%,$300K,$3.0M
BUZZ/SOL Hive AI,$0.04613,10h,"3,920","3,920","3,920",3.65%,-2.50%,34.85%,141%,$270K,$46.1M
CHIZZ/SOL CHIZZLER,$0.045489,2h,"4,050","4,050","4,050",-7.32%,-11.21%,-24.82%,-24.82%,$28K,$54K
OIIAOIIA/SOL spinning cat,$0.01297,3mo,"3,857","3,857","3,857",1.17%,-1.35%,38.99%,83.57%,$762K,$12.9M
AICYCLE/SOL AI SUPERCYCLE,$0.0009325,2mo,"12,711","12,711","12,711",-0.93%,27.77%,-20.57%,-23.84%,$154K,$929K
CUMMIES/WETH Cumrocket,$0.002384,12h,"1,692","1,692","1,692",-10.43%,6.16%,2.48%,"5,069%",$53K,$233K
LUCE/SOL Official Mascot of the Holy Year,$0.03893,2mo,"10,688","10,688","10,688",1.15%,-0.65%,-3.95%,-12.81%,$2.7M,$38.9M
Ronnie/SOL Ronnie,$0.003398,3mo,40,40,40,1.03%,0.86%,7.16%,13.08%,$225K,$3.0M
SIGMA/SOL SIGMA,$0.05287,5mo,"7,647","7,647","7,647",-0.19%,-1.20%,19.60%,28.58%,$2.4M,$47.5M
PILLZUMI/SOL Pillzumi,$0.046096,12m,"1,548","1,548","1,548",6.86%,13.79%,13.79%,13.79%,$114K,$121K
IGEN/WETH Aigen,$0.002645,1d,"6,357","6,357","6,357",0%,2.53%,50.87%,-26.16%,$35K,$55K
GOAT/SOL Goatseus Maximus,$0.5452,2mo,"13,433","13,433","13,433",0.05%,-0.68%,-1.58%,-7.69%,$9.8M,$545.2M
RETARDIO/SOL RETARDIO,$0.09262,11mo,"11,091","11,091","11,091",0.23%,2.03%,4.14%,27.02%,$3.3M,$92.5M
KM/SOL Kekius Maximus,$0.002733,24d,"9,902","9,902","9,902",-2.39%,-6.43%,14.27%,-18.71%,$483K,$2.7M
PATRIOT/WETH Patriot,$0.005398,1mo,75,75,75,0%,-0.42%,-11.41%,-12.53%,$12K,$53.9M
TrackedBio/SOL TrackedBio,$0.003293,1mo,"7,193","7,193","7,193",0.42%,-1.72%,-27.78%,-39.71%,$376K,$3.2M
AKITA/WBNB AKITA-BSC,$0.003359,15d,"6,904","6,904","6,904",1.50%,-8.93%,-3.36%,-43.65%,$258K,$797K
GRIFFAIN/SOL test griffain.com,$0.4020,22d,"24,884","24,884","24,884",-0.92%,-8.02%,-0.71%,3.43%,$816K,$401.9M
SANDY/SOL Sandy Codex,$0.02610,21h,"1,303","1,303","1,303",0%,4.72%,-4.76%,251%,$26K,$21.7M
TSOTCHKE/SOL tsotchke,$0.03338,30d,"12,308","12,308","12,308",-0.56%,-0.31%,0.21%,3.59%,$1.4M,$31.5M
GRIFT/SOL ORBIT,$0.02966,27d,"12,249","12,249","12,249",2.67%,4.83%,-0.43%,-16.08%,$1.3M,$26.1M
JFC/SOL Justice for Charlene,$0.043661,1h,"3,690","3,690","3,690",-34.46%,-37.36%,-58.88%,-58.88%,$23K,$36K
ZNTH/WETH Zenithon,$0.006640,20h,"1,485","1,485","1,485",26.27%,29.62%,-8.66%,"14,480%",$88K,$630K
egypt/SOL property in egypt,$0.048756,3h,"2,726","2,726","2,726",-1.05%,7.53%,-27.37%,-27.37%,$35K,$87K
SCOUT/SOL Scoutly AI,$0.008291,13d,"13,718","13,718","13,718",0.18%,-0.11%,-2.36%,-30.59%,$853K,$8.1M
degenai/SOL Degen Spartan AI,$0.07827,2mo,"10,247","10,247","10,247",-0.27%,-5.60%,4.43%,-7.20%,$2.8M,$78.2M
$DREAMS/SOL Sylicon Dreams,$0.0002244,14h,"31,212","31,212","31,212",-2.86%,-28.36%,-63.76%,209%,$67K,$224K
MONKY/WBNB Wise Monkey,$0.041030,22d,"4,818","4,818","4,818",0%,-1.13%,-1.91%,-9.86%,$4.0M,$103.0M
ASYM/SOL ASYM,$0.01863,27d,"9,523","9,523","9,523",-1.65%,-9.10%,8.10%,33.18%,$798K,$18.6M
dDoge/SOL Dumble Doge,$0.049746,10h,"5,206","5,206","5,206",-3.24%,29.94%,-35.94%,205%,$2.3K,$97K
rectum/SOL rectum coin,$0.001445,3d,"8,979","8,979","8,979",2.34%,-27.93%,-3.14%,291%,$171K,$1.4M
COOKIE/USDT Cookie,$0.4667,6mo,"11,140","11,140","11,140",0.57%,-0.24%,5.90%,-16.68%,$261K,$86.7M
cbBTC/WETH Coinbase Wrapped BTC,"$96,653.55",-,"8,719","8,719","8,719",-0.05%,-0.19%,0.13%,-0.25%,$43.6M,$460.3M
CUMMIES/WBNB CumRocket,$0.006789,-,"6,677","6,677","6,677",0%,2.44%,-22.26%,57.13%,$727K,$8.5M
PAI/WBNB Panther AI,$0.08263,2mo,"4,428","4,428","4,428",0.02%,0.02%,0.04%,-5.56%,$1.2M,$23.0M
BUZZ/SOL Hive AI,$0.04613,10h,"3,513","3,513","3,513",3.38%,0.49%,36.53%,448%,$400K,$46.1M
SVMAI/SOL opensvm.com,$0.007338,8d,"14,468","14,468","14,468",-0.58%,4.42%,-3.42%,-12.94%,$630K,$7.3M
AIXBT/USDC aixbt by Virtuals,$0.4832,1mo,"6,981","6,981","6,981",0.14%,-5.18%,1.14%,-10.94%,$6.8M,$482.7M
KEKE/SOL Kekius Maximus,$0.045288,1d,"1,367","1,367","1,367",0%,-0.89%,6.93%,1.46%,$27K,$52K
LGNS/DAI Longinus,$15.13,9mo,"32,341","32,341","32,341",-0.17%,0.35%,1.04%,1.39%,$8.1M,$117.8M
MOJO/WETH Mojo,$0.064789,5mo,"4,018","4,018","4,018",-0.08%,0.23%,3.28%,6.15%,$80K,$478K
GRPH/SOL Soul Graph,$0.03826,14d,"11,507","11,507","11,507",-2.95%,-8.72%,5.02%,19.65%,$1.1M,$38.2M
TETSUO/SOL Tetsuo Coin,$0.01987,1mo,"8,746","8,746","8,746",0.73%,0.58%,16.14%,3.03%,$1.3M,$19.8M
URS/SOL Uranus,$0.001538,2mo,724,724,724,0.97%,2.18%,2.18%,2.12%,$188K,$1.5M
POM/USDT POM,$0.0005566,3d,976,976,976,0.17%,32.07%,25.37%,80.60%,$113K,$534K
GAME/VIRTUAL GAME by Virtuals,$0.2488,3mo,"2,696","2,696","2,696",-0.30%,-2.86%,-11.68%,-20.08%,$34.0M,$248.7M
Brett2.0/WETH Brett2.0,$0.001208,12d,"3,217","3,217","3,217",0%,-2.48%,4.03%,42.23%,$136K,$1.0M
Gracie/SOL Truth Terminal’s Cat,$0.0007745,22d,"22,943","22,943","22,943",-3.10%,-5.57%,-44.30%,-64.93%,$136K,$774K
$michi/SOL michi,$0.1509,8mo,"12,512","12,512","12,512",-1.68%,-2.17%,5.88%,10.14%,$6.2M,$83.9M
dildo/SOL dildo.ai,$0.0002013,22h,"59,106","59,106","59,106",-13.09%,-1.63%,-25.93%,112%,$66K,$201K
TWRAE/WETH Trump Was Right About Everything,$0.004836,7h,407,407,407,0%,0%,81.09%,126K%,$256K,$4.7M
PBTC/SOL Purple Bitcoin,$0.2948,29d,"6,655","6,655","6,655",-4.39%,-11.03%,-6.00%,25.78%,$343K,$5.6M
HAT/SOL TOP HAT,$0.09250,2mo,"17,108","17,108","17,108",-1.08%,7.71%,2.27%,-9.55%,$1.9M,$91.5M
SKINUT/WETH Skimask Pnut,$0.001004,17d,"1,070","1,070","1,070",0%,6.21%,7.07%,8.62%,$144K,$995K
OPERATOR/WETH OpenAi Agent,$0.0009231,3h,477,477,477,14.13%,-43.94%,"1,626%","1,626%",$30K,$83K
REALIS/SOL Realis Worlds,$0.01910,29d,"7,952","7,952","7,952",0.34%,3.59%,17.16%,-19.82%,$1.0M,$18.2M
DOGE/WETH Department Of Government Efficiency,$0.1888,4mo,"2,206","2,206","2,206",1.81%,6.58%,12.99%,25.10%,$6.6M,$184.8M
TANK/SOL AgentTank,$0.01710,28d,"11,523","11,523","11,523",-0.51%,1.27%,8.89%,-17.11%,$1.2M,$17.1M
SOLENG/SOL SOLENG,$0.03413,14d,"11,537","11,537","11,537",6.22%,16.39%,5.74%,106%,$883K,$34.1M
DEEP/SUI DeepBook Token,$0.1268,2mo,"8,213","8,213","8,213",-0.39%,0.62%,10.39%,7.45%,$8.6M,$317.1M
BOB/WBNB Build On BNB,$0.071947,1mo,"3,837","3,837","3,837",-0.03%,0.19%,-2.71%,-16.61%,$525K,$8.1M
SHILL/SOL SHILLGUY,$0.003561,1mo,"19,116","19,116","19,116",-0.37%,2.81%,5.08%,14.28%,$283K,$3.5M
TrenchAI/SOL Trenches AI,$0.007389,11d,"6,789","6,789","6,789",-1.20%,8.51%,15.84%,31.17%,$569K,$7.3M
APPLE/SOL dog with apple in mouth,$0.01372,30d,"10,268","10,268","10,268",0.14%,5.66%,-0.85%,8.32%,$1.0M,$13.7M
BRO/VIRTUAL Neurobro by Virtuals,$0.02525,25d,"2,027","2,027","2,027",-0.30%,1.31%,4.07%,-28.09%,$1.6M,$20.1M
SPX/SOL SPX6900 (Wormhole),$1.27,1y,"17,900","17,900","17,900",0.56%,3.67%,6.47%,36.27%,$3.1M,$154.8M
Bullsy/SOL Bullsy,$0.0001770,14h,"7,268","7,268","7,268",1.38%,13.68%,21.30%,141%,$52K,$177K
VIRTUAL/WETH Virtual Protocol,$4.21,2mo,"11,149","11,149","11,149",-0.33%,-1.69%,-0.66%,-8.51%,$4.7M,$2.050B
Jenna/SOL Jenna ,$0.002108,1d,"12,954","12,954","12,954",-0.40%,1.21%,27.09%,-36.00%,$220K,$2.1M
ASSCOIN/SOL ASSCOIN,$0.001220,8d,"6,669","6,669","6,669",-0.11%,-1.35%,-32.34%,45.87%,$227K,$1.2M
BUTTCOIN/SOL BUTTCOIN,$0.0004207,2d,"6,219","6,219","6,219",-3.47%,-15.18%,71.24%,-24.52%,$102K,$420K
COW/WBNB Cowcoin,$0.001591,21d,"1,534","1,534","1,534",-3.15%,7.57%,70.79%,121%,$403K,$1.2M
ZAILGO/SOL Z̶A̴I̴L̶G̶O̸,$0.07141,6h,"1,259","1,259","1,259",0%,-0.32%,-7.86%,5.41%,$423K,$70.0M
POM/WBNB POM,$0.0005636,3d,"1,874","1,874","1,874",3.30%,34.76%,26.58%,81.91%,$83K,$541K
CROW/SOL Crow Computer,$0.0003399,21h,"7,987","7,987","7,987",-2.14%,33.85%,-2.07%,304%,$72K,$332K
WORM/SOL Deep Worm,$0.03264,2mo,"8,686","8,686","8,686",0.22%,-2.20%,4.48%,1.53%,$1.8M,$32.6M
daige/SOL Daige,$0.01816,15d,"9,865","9,865","9,865",0.23%,-3.81%,6.54%,43.26%,$788K,$18.1M
Edward/SOL Edward,$0.0004651,3d,"7,953","7,953","7,953",-12.88%,57.89%,68.27%,"2,755%",$90K,$465K
UBC/SOL Universal Basic Compute,$0.01015,1mo,"6,404","6,404","6,404",0.69%,-4.46%,-14.15%,-12.88%,$1.0M,$10.1M
Citadail/SOL griffain new hedge fund,$0.01180,20d,"13,702","13,702","13,702",-10.19%,3.32%,18.50%,19.59%,$761K,$11.8M
Shoggoth/SOL Shoggoth,$0.04030,2mo,"7,539","7,539","7,539",-0.28%,0.98%,-2.52%,-14.22%,$2.0M,$40.3M
Thena/SOL Thena Network,$0.0008897,7h,"6,370","6,370","6,370",-0.13%,-11.35%,-47.00%,-40.64%,$3.5K,$889K
AIXBT/WETH aixbt by Virtuals,$0.4832,-,"11,012","11,012","11,012",0.47%,-5.26%,1.11%,-11.08%,$2.1M,$482.7M
TURBO/WETH Based Turbo,$0.0001444,18d,"14,873","14,873","14,873",0.43%,4.66%,-7.98%,7.73%,$384K,$9.9M
Cheems/WBNB Cheems,$0.051021,3mo,"5,736","5,736","5,736",-0.03%,-1.64%,2.31%,8.57%,$6.4M,$208.0M
Mizuki/SOL Mizuki,$0.01460,23d,"8,018","8,018","8,018",-1.02%,-1.14%,-7.54%,-7.34%,$693K,$14.6M
ZAILGO/SOL Z̶A̴I̴L̶G̶O̸,$0.06421,3d,"7,732","7,732","7,732",-1.30%,-10.03%,-16.64%,51.53%,$371K,$62.9M
FURM/SOL Furmula,$0.03422,17d,"15,381","15,381","15,381",0.09%,-0.17%,-0.08%,6.47%,$2.5M,$25.7M
cbBTC/USDC Coinbase Wrapped BTC,"$96,646.93",-,"9,279","9,279","9,279",-0.01%,-0.07%,0.16%,-0.12%,$13.5M,$460.2M
CAT/WBNB Simons Cat,$0.043401,4mo,"4,289","4,289","4,289",-0.44%,0.70%,1.95%,-2.90%,$2.0M,$229.5M
NIMBUS/SOL NIMBUS AI,$0.0007576,1d,"14,504","14,504","14,504",-5.54%,36.47%,3.75%,22.08%,$130K,$757K
ANI/WBNB Anime,$0.008814,3y,279,279,279,0.09%,-8.22%,-5.66%,0.39%,$79K,$535K
N2/SOL Niggachain AI Layer 2,$0.004271,1mo,"12,198","12,198","12,198",4.69%,12.80%,39.62%,-30.81%,$392K,$3.9M
QAMI/SOL Quantum Assembly Machine ∞,$0.001664,2d,"15,432","15,432","15,432",2.93%,-13.97%,18.04%,-34.67%,$188K,$1.6M
GOUT/USDT GOUT,$0.0002716,1mo,"2,665","2,665","2,665",0.08%,0.39%,6.03%,-6.71%,$3.1M,$42.7M
PINO/SOL PINO,$0.03039,6mo,"2,986","2,986","2,986",-0.12%,-2.75%,-10.15%,-10.94%,$1.2M,$30.0M
AGENCY/SOL Larp Detective Agency,$0.01619,19d,"7,782","7,782","7,782",1.43%,6.06%,19.12%,-22.14%,$681K,$16.1M
mcs/SOL MedicalSwarm,$0.01463,13d,"7,459","7,459","7,459",-2.33%,-11.32%,-5.59%,61.79%,$646K,$14.6M
$SITCOM/SOL degenerative SITCOM,$0.003918,1mo,"2,973","2,973","2,973",10.89%,214%,224%,201%,$571K,$3.9M
BabyDoge/WBNB Baby Doge Coin,$0.083213,3y,"2,042","2,042","2,042",0%,0.29%,1.97%,-1.01%,$36.5M,$526.2M
FROG/WBNB Frodo the virtual samurai,$0.003029,24d,"1,508","1,508","1,508",-0.03%,0.09%,2.57%,18.01%,$512K,$15.1M
cbBTC/VIRTUAL Coinbase Wrapped BTC,"$97,244.95",3mo,"14,221","14,221","14,221",0.23%,-0.23%,0.29%,1.10%,$62.0M,$463.1M
Fartcoin /SOL Fartcoin ,$1.41,1mo,"15,882","15,882","15,882",-0.93%,0.95%,7.95%,-2.03%,$1.9M,$1.41B
ZIL/SOL Zillion ,$0.046818,21d,"1,918","1,918","1,918",0%,-20.93%,-25.99%,-25.22%,$33K,$68K
ACT/BUSD Acet Token,$0.01707,3y,"2,153","2,153","2,153",-0.10%,2.73%,3.03%,23.42%,$671K,$37.2M
KOMA/WBNB Koma Inu,$0.1192,2mo,"1,803","1,803","1,803",0.01%,-0.89%,2.12%,-1.89%,$3.5M,$80.9M
AKA/SOL She Rises,$0.02401,14d,"8,321","8,321","8,321",1.06%,-1.60%,-6.68%,-14.82%,$850K,$24.0M
dGPU/SOL dante,$0.003834,4d,"9,354","9,354","9,354",0.63%,-5.41%,6.66%,-13.29%,$403K,$3.8M
SKAI/USDT SkaiToken,$0.04465,18h,57,57,57,0%,0%,-2.72%,-0.76%,$354K,$7.1M
DOGES/SOL Doges meme CTO,$0.046155,20h,586,586,586,0%,0%,0%,-1.62%,$1.9K,$61K
VIRAL/SOL ViralMind,$0.002355,15d,"4,465","4,465","4,465",-0.91%,8.26%,44.29%,-11.34%,$253K,$2.3M
Sakura/SOL SakuraAI,$0.0004857,1mo,"2,472","2,472","2,472",7.41%,1.87%,24.72%,11.07%,$90K,$480K
Cheems/WBNB Cheems,$0.051020,3mo,"4,560","4,560","4,560",0.11%,-1.18%,2.43%,9.09%,$2.1M,$207.9M
MANA/SOL Meme Anarchic Numismatic Asset,$0.005678,24d,"13,034","13,034","13,034",0.22%,1.70%,33.64%,106%,$652K,$5.6M
TEMA/SOL Tema,$0.02793,1mo,"13,770","13,770","13,770",-0.85%,7.57%,24.15%,71.46%,$1.0M,$27.9M
RMT/SOL Remint,$0.001953,3d,"5,876","5,876","5,876",0.23%,-6.55%,1.62%,185%,$183K,$1.9M
pippin/SOL Pippin,$0.009940,1mo,"5,410","5,410","5,410",-1.47%,1.56%,-6.20%,-35.16%,$987K,$9.9M
Kekius/WETH Kekius Maximus,$0.0005111,2d,"12,192","12,192","12,192",3.18%,21.02%,82.86%,"4,776%",$950K,$21.4M
aether/SOL aether collective,$0.01113,4d,"1,967","1,967","1,967",0%,-19.38%,6.65%,158%,$14K,$11.1M
TAOCAT/WETH TAOCat by Virtuals,$0.06964,14d,"5,136","5,136","5,136",-2.51%,-8.36%,64.91%,31.17%,$107K,$69.6M
VITA/WETH VitaDAO Token,$5.20,3y,282,282,282,0.11%,3.81%,0.64%,-0.09%,$4.3M,$134.7M
queef/SOL queefing,$0.001968,2mo,"1,863","1,863","1,863",0.21%,-14.83%,94.06%,90.19%,$189K,$1.9M
CHTTR/SOL Chatter AI,$0.0009957,18h,"1,062","1,062","1,062",11.18%,18.25%,75.41%,-43.98%,$7.9K,$928K
VOYAGE/SOL Voyager AI,$0.003270,26d,"5,807","5,807","5,807",0.02%,3.10%,44.21%,-17.40%,$370K,$3.0M
NEROBOSS/SOL neroboss,$0.005030,1mo,"4,471","4,471","4,471",-3.54%,2.97%,-4.93%,-22.01%,$454K,$5.0M
TRUMPIUS/WBNB Trumpius Maximus,$0.0122339,8h,777,777,777,4.95%,-17.23%,121%,"13,072%",$16K,$98K
GEMXBT/SOL gemxbt,$0.005353,24d,"8,510","8,510","8,510",-3.62%,-6.38%,-5.21%,-35.41%,$391K,$5.0M
PEPU/WETH Pepe Unchained,$0.01178,23d,"1,656","1,656","1,656",-0.07%,0.37%,-0.50%,12.86%,$3.4M,$94.2M
BUZZ/SOL Hive AI,$0.04641,10h,"2,245","2,245","2,245",13.71%,1.10%,37.48%,"1,022%",$684K,$46.4M
fxn/SOL FXN,$0.07229,1mo,"19,403","19,403","19,403",-3.03%,-4.60%,9.22%,-16.71%,$1.6M,$65.0M
LEXICON/SOL Lexicon,$0.01759,1d,"12,409","12,409","12,409",-3.87%,-5.66%,18.67%,1.51%,$187K,$17.5M
CAT/WBNB Simons Cat,$0.043406,4mo,"1,695","1,695","1,695",-0.12%,1.56%,2.00%,-2.14%,$19.9M,$229.9M
BIO/ACC/SOL Bio Acceleration,$0.0007534,1mo,"3,947","3,947","3,947",1.62%,-2.10%,-61.60%,-32.24%,$181K,$752K
CORGI/WBNB Corgi Inu,$0.003212,11d,"1,334","1,334","1,334",3.27%,-3.70%,-26.63%,-30.29%,$182K,$2.7M
KEKIUS/WETH Kekius Maximus,$0.1628,15d,"3,139","3,139","3,139",0.14%,-3.23%,5.11%,17.79%,$2.6M,$162.8M
SUIPERMAN/SUI Suiperman,$4.39,10h,"8,827","8,827","8,827",0%,2.38%,76M%,20M%,$5.4M,$4.39B
av16z/SOL av16z,$0.0004683,2d,"4,441","4,441","4,441",-0.23%,63.02%,123%,7.14%,$104K,$468K
LEO/VIRTUAL LEOONO by Virtuals,$0.003672,22h,"4,471","4,471","4,471",-2.11%,-14.96%,8.00%,129%,$582K,$3.6M
GOUT/WBNB GOUT,$0.0002706,1mo,"4,329","4,329","4,329",0.26%,1.98%,5.75%,-6.35%,$206K,$42.5M
GNON/SOL numogram ,$0.04133,2mo,"6,853","6,853","6,853",0.60%,1.47%,2.99%,0.43%,$3.0M,$41.2M
$AIAGENT/USDT AI Agents,$0.008193,21d,"3,581","3,581","3,581",-2.68%,-0.61%,-6.78%,27.29%,$121K,$5.0M
NOAH /SOL NOAH ON SOLANA ,$0.048459,7d,"7,683","7,683","7,683",0.29%,-2.65%,-15.81%,-23.50%,$38K,$84K
Bonk/SOL Bonk,$0.043304,1mo,"10,095","10,095","10,095",0.02%,0.34%,5.24%,1.82%,$620K,$2.51B
BabyNeiro/WBNB Baby Neiro,$0.0118208,2mo,"1,557","1,557","1,557",2.19%,3.39%,-0.91%,1.37%,$838K,$3.3M
AICell/WBNB AICell,$0.06472,1mo,829,829,829,-0.05%,6.90%,5.26%,-18.97%,$878K,$64.7M
ZEREBRO/SOL zerebro,$0.5950,1mo,"14,751","14,751","14,751",0.43%,-6.29%,-3.30%,-4.28%,$2.0M,$594.9M
QUACK/WBNB RichQUACK.com,$0.098143,3y,"4,309","4,309","4,309",-0.03%,0.39%,-0.05%,-0.86%,$3.6M,$36.1M
EGG/WETH The Egg,$0.002125,1d,"12,971","12,971","12,971",0.65%,52.67%,122%,"4,866%",$266K,$2.1M
OPUS/SOL Claude Opus,$0.01500,2mo,"7,863","7,863","7,863",-0.35%,6.16%,8.43%,-18.68%,$1.3M,$15.0M
SDM/USDT Shieldeum,$0.09225,1mo,"1,200","1,200","1,200",-0.18%,1.48%,-10.25%,-5.31%,$382K,$7.7M
NFTITTIES/SOL NFTITTIES,$0.0001077,1h,3,3,3,0%,0%,-8.87%,-8.87%,-,$107K
Uni/SUI Uni,$0.009947,2mo,"14,613","14,613","14,613",-0.26%,0.59%,0.87%,-0.21%,$593K,$9.9M
REI/WETH Unit 00 - Rei,$0.1128,1mo,"2,575","2,575","2,575",5.82%,-3.93%,-15.14%,-25.95%,$7.2M,$112.8M
THE/WBNB THENA,$1.49,1y,"1,368","1,368","1,368",0%,-0.55%,-1.74%,-8.79%,$576K,$134.5M
Joi/WBNB Joi,$0.004236,25d,"1,630","1,630","1,630",0.16%,-1.37%,-8.40%,-50.37%,$260K,$4.2M
PSY/WETH PsyDAO Token,$0.4764,4mo,532,532,532,-0.85%,40.59%,71.72%,74.62%,$1.4M,$12.1M
CJW/SOL Cameron John Wagenius,$0.043150,7h,"15,449","15,449","15,449",1.14%,-14.96%,-68.24%,-61.46%,$23K,$31K
ai16z/USDC ai16z,$2.03,2mo,"11,577","11,577","11,577",-1.08%,-4.62%,3.32%,0.96%,$136K,$2.23B
Project89/SOL Project89,$0.02824,2mo,"6,731","6,731","6,731",0.97%,2.45%,5.08%,-0.93%,$2.0M,$28.2M
ANDY70B/SOL ANDY70B,$0.008869,2mo,"8,735","8,735","8,735",2.47%,12.13%,3.21%,43.28%,$652K,$8.5M
WHY/WBNB why,$0.061233,8mo,665,665,665,-0.15%,-1.23%,1.36%,-1.51%,$12.4M,$51.8M
XENO/SOL Xenopus laevis,$0.01734,2mo,"7,741","7,741","7,741",1.88%,8.58%,13.18%,-7.57%,$979K,$15.5M
Sonic/WBNB Sonic Coin,$0.052028,10d,488,488,488,0.01%,-1.77%,1.87%,1.81%,$243K,$792K
MSS/WBNB MintStakeShare,$0.04024,2mo,486,486,486,-0.03%,-0.03%,-2.80%,12.46%,$939K,$1.3M
KOVU/SOL Red Siberian Husky ,$0.003258,26d,"1,668","1,668","1,668",-2.30%,-7.95%,27.82%,81.37%,$331K,$3.2M
$AIAGENT/USDT AI Agents,$0.008228,10d,"1,379","1,379","1,379",-1.84%,-0.63%,-6.58%,27.88%,$266K,$5.0M
POPCAT/SOL Popcat,$0.8888,1y,"7,996","7,996","7,996",-0.19%,-2.04%,3.61%,3.06%,$16.7M,$870.9M
BabyElon/WBNB Baby Elon,$0.0113658,1y,292,292,292,0.01%,2.48%,22.89%,30.49%,$339K,$1.5M
NGMI/USDC NGMI,$165.67,15h,"3,834","3,834","3,834",0%,0%,583K%,351M%,$3.1K,$144.81B
BABYXRP/WBNB BABY XRP ,$0.001401,21d,"1,433","1,433","1,433",0%,0.51%,-8.07%,-36.40%,$403K,$1.4M
METAV/SOL METAVERSE,$0.06105,9d,"6,922","6,922","6,922",-0.37%,3.57%,16.42%,6.19%,$147K,$61.0M
ALU/WBNB Altura,$0.1146,3y,"1,272","1,272","1,272",0.13%,0.43%,1.85%,6.81%,$1.1M,$151.3M
QUAIN/SOL QUAIN,$0.0009102,3d,"17,878","17,878","17,878",5.09%,18.54%,-2.19%,-47.74%,$154K,$910K
HYPU/SOL Hyper Utility,$0.005001,2d,"10,590","10,590","10,590",-5.58%,1.69%,-4.10%,-26.27%,$367K,$5.0M
TWRAE/WETH Trump Was Right About Everything,$0.0001331,8h,587,587,587,0%,2.20%,-48.95%,"1,645%",$61K,$132K
ADM/VIRTUAL Voice of the Gods by Virtuals,$0.0003044,21h,"4,583","4,583","4,583",-0.80%,17.47%,-20.24%,-82.03%,$170K,$304K
ANTI/SOL Antitoken,$0.002843,1mo,"5,812","5,812","5,812",-0.46%,-4.96%,-33.97%,0.22%,$420K,$2.8M
SANDY/USDC Sandy Codex,$0.02457,2h,85,85,85,-4.50%,5.26%,-5.01%,-5.01%,$5.0K,$20.4M
Faml/WBNB Faml,$0.004879,1mo,"2,257","2,257","2,257",0.19%,0.31%,0.69%,-2.15%,$201K,$4.8M
AITECH/USDT AITECH,$0.08651,9mo,"1,583","1,583","1,583",-0.17%,1.39%,0.73%,-6.07%,$872K,$93.5M
CAT/WBNB Catcoin,$0.091985,1y,560,560,560,0.28%,0.95%,3.66%,3.36%,$422K,$6.8M
KWANT/SOL kwantxbt,$0.01713,27d,"13,801","13,801","13,801",0%,-8.02%,9.51%,-7.47%,$778K,$15.9M
CHILLGUY/SOL Just a chill guy,$0.1728,1mo,"5,237","5,237","5,237",0.02%,2.99%,4.41%,-0.45%,$4.5M,$172.8M
OFN/USDT Openfabric,$0.1282,1y,"1,300","1,300","1,300",0%,0.73%,4.39%,24.27%,$312K,$16.2M
