Name,Price,Age,TXNS,Volume,Makers,5m,1h,6h,24h,Liquidity,MCAP
timmy/SOL Trench Timmy,$0.001275,22d,"2,768","2,768","2,768",-3.04%,-5.93%,24.03%,19.15%,$220K,$1.2M
DUEL/SOL BetDuel.ai ,$0.001749,3d,"5,331","5,331","5,331",-0.42%,-5.61%,-6.82%,-14.32%,$195K,$1.7M
ZAILGO/SOL Z̶A̴I̴L̶G̶O̸,$0.06315,3d,"2,952","2,952","2,952",-3.25%,-11.45%,-18.11%,48.36%,$367K,$61.9M
RACKS/SOL BlackRack,$0.002159,4d,"2,580","2,580","2,580",1.82%,-7.81%,-8.42%,7.71%,$207K,$2.1M
VTRU/USDC Vitruveo Bridged VTRU,$0.2051,16d,30,30,30,0%,0%,-1.31%,-2.50%,$78K,$12.3M
San/SOL San Chan,$0.001824,3d,"5,582","5,582","5,582",2.93%,-17.80%,0.61%,35.27%,$181K,$1.7M
BERRY/WETH Strawberry AI,$0.3628,4mo,153,153,153,0%,0.48%,-1.91%,2.84%,$1.1M,$36.2M
OMEGA/SOL OMEGA,$0.01107,2mo,"5,484","5,484","5,484",-1.49%,-4.27%,0.82%,-39.09%,$718K,$11.0M
ATH/WETH Aethir Token,$0.06905,6mo,537,537,537,0%,0.11%,1.05%,2.32%,$8.3M,$392.5M
ZKML/WETH zKML,$0.3909,10mo,217,217,217,-0.60%,-4.99%,-5.17%,14.38%,$1.7M,$37.6M
XMONEY/WETH X Money,$0.1521,20d,248,248,248,0%,-0.26%,15.20%,17.09%,$153K,$1.5M
BEES/WBNB ClickBee Token,$0.058106,10mo,4,4,4,0%,0%,-0.30%,-0.57%,$99K,$708K
TEDDY BEAR ㉾/WPLS BEAR,$0.076067,1y,"2,220","2,220","2,220",-0.04%,1.56%,3.38%,-9.57%,$497K,$60.5M
eschatail/SOL eschatail,$0.0004859,1mo,"1,929","1,929","1,929",-3.98%,-29.72%,-41.43%,208%,$110K,$485K
SEKOIA/VIRTUAL sekoia by Virtuals,$0.03221,2mo,"1,507","1,507","1,507",-0.55%,0.63%,-3.80%,-21.38%,$1.7M,$31.7M
EXO/SOL EXODAS,$0.005813,8d,"4,517","4,517","4,517",-0.07%,-1.74%,14.98%,8.92%,$313K,$5.8M
TEVA/WETH Tevaera,$0.05949,10d,"2,642","2,642","2,642",-0.47%,22.54%,37.22%,157%,$984K,$18.2M
EAVE/WETH EaveAI,$0.7457,6mo,90,90,90,0%,-4.02%,-2.88%,18.90%,$536K,$6.9M
YON/USDT YESorNO,$0.0006510,9mo,16,16,16,0%,0%,-1.48%,-1.99%,$155K,$1.6M
PILLZUMI/SOL Pillzumi,$0.005919,1mo,"7,220","7,220","7,220",-1.32%,1.95%,28.13%,-23.44%,$492K,$5.9M
LMT/SOL LIMITUS,$0.1422,1mo,"4,667","4,667","4,667",-0.40%,-4.20%,9.75%,-3.75%,$3.3M,$142.2M
CAT/WBNB Simons Cat,$0.043404,-,265,265,265,0%,1.82%,1.86%,-2.29%,$326K,$229.8M
UAI/SOL AImerica,$0.01931,14d,"5,196","5,196","5,196",0.13%,0.09%,2.27%,-9.16%,$643K,$19.2M
BAT/SOL Energesis,$0.0009073,14d,985,985,985,-3.57%,7.26%,140%,94.07%,$150K,$907K
DOGE/SOL Department of Gov Efficiency,$0.5967,2mo,"2,532","2,532","2,532",-0.12%,1.68%,7.16%,1.76%,$812K,$5.9M
GAME/WETH GAME by Virtuals,$0.2487,-,"2,588","2,588","2,588",-1.07%,-3.14%,-11.35%,-19.57%,$1.4M,$248.7M
VISTA/WETH Ethervista,$36.48,4mo,90,90,90,0%,1.43%,-5.11%,8.60%,$2.3M,$35.0M
1GUY/WBNB 1GUY,$0.007928,2mo,4,4,4,0%,-0.01%,-0.01%,-0.28%,$322K,$7.9M
SIMMI/WETH Simmi Token,$0.0002181,1mo,"1,666","1,666","1,666",0.37%,0.11%,17.61%,0.76%,$2.3M,$21.7M
LAIKA/WETH Laika,$0.6495,1mo,108,108,108,0%,-0.15%,-1.03%,1.32%,$2.0M,$13.4M
RAY/SOL Raydium,$5.37,4mo,"31,333","31,333","31,333",-0.11%,-1.41%,0.58%,-2.69%,$5.3M,$2.98B
SERAPH/VIRTUAL Seraph by Virtuals,$0.02058,1mo,"1,273","1,273","1,273",-0.38%,-8.39%,-8.69%,-28.13%,$1.4M,$20.5M
WEPE/SOL Wall Street Pepe,$0.0003573,19d,599,599,599,0%,-0.25%,2.81%,2.70%,$68.3M,$71.4M
ORBIT/WETH Orbit Protocol,$0.004055,10mo,2,2,2,0%,0%,0%,-1.11%,$123K,$396K
LOTS/USDT LOTS,$0.0003697,6mo,16,16,16,0%,0%,0%,-7.19%,$104K,$363K
YOLO/WETH YOLO,$0.001396,6mo,7,7,7,0%,0%,0%,-0.39%,$1.2M,$2.6M
WSM/WBNB Wall Street Memes,$0.0008972,11mo,13,13,13,0%,0%,0%,13.92%,$129K,$1.6M
HANA/WETH Hana,$0.0002138,3mo,99,99,99,0.37%,1.25%,10.21%,11.10%,$389K,$1.9M
BUSINESS/WETH Business Coin,$0.008830,1y,151,151,151,0%,2.91%,12.62%,62.28%,$442K,$8.3M
STFX/WETH STFX,$0.01279,1y,148,148,148,0%,-0.91%,11.17%,42.04%,$625K,$8.3M
SWAG/WETH Swag,$0.06494,5mo,72,72,72,-1.39%,7.83%,11.01%,24.40%,$705K,$6.4M
PADRE/WETH Padre,$0.1941,9mo,135,135,135,-0.12%,0.07%,9.90%,7.83%,$681K,$19.2M
XEROAI/WETH Xero AI,$0.05322,9mo,111,111,111,0%,0.13%,5.09%,40.33%,$441K,$5.3M
RSP/WETH Reality Spiral,$0.041029,2mo,281,281,281,0%,-10.72%,-4.55%,-18.20%,$453K,$10.2M
BRG/WBNB Bridge,$0.0001267,2y,85,85,85,0%,0.62%,1.03%,-3.13%,$301K,$1.2M
ACT/SOL Act I : The AI Prophecy,$0.2978,2mo,"4,312","4,312","4,312",0.26%,0.17%,-0.98%,-7.72%,$8.3M,$282.4M
MEOW/SOL Meow Meow Meow Meow,$0.009172,1mo,"4,451","4,451","4,451",-1.46%,-3.55%,12.74%,-19.37%,$659K,$9.1M
AUDAI/WETH AuditAI,$0.009321,3d,221,221,221,0%,0.46%,-6.98%,82.88%,$456K,$400K
kAia/SOL A.I Agent kAia,$0.0006635,1mo,221,221,221,1.11%,4.73%,8.82%,9.15%,$101K,$643K
DOGE/WETH Department Of Government Efficiency,$0.1875,4mo,375,375,375,1.58%,5.55%,12.50%,23.53%,$601K,$183.6M
GROK/WETH GROK,$0.005752,1y,118,118,118,0%,-0.03%,0.10%,-0.15%,$3.2M,$36.3M
CROW/VIRTUAL cr0w by Virtuals,$0.01182,3d,"2,537","2,537","2,537",-1.30%,4.27%,-21.42%,-34.60%,$1.0M,$11.8M
VSG/WETH Vector Smart Gas,$0.002673,4mo,203,203,203,0%,1.27%,1.63%,7.17%,$868K,$24.6M
AVENT/WETH Aventa,$0.004761,2mo,126,126,126,0%,1.06%,-1.20%,11.95%,$509K,$3.8M
SQGROW/WETH SquidGrow,$0.03261,3mo,"1,236","1,236","1,236",0%,0.29%,-7.96%,26.01%,$2.9M,$32.6M
HEX/WETH HEX,$0.002729,-,181,181,181,0%,-0.20%,3.55%,-8.80%,$671K,$1.64B
Top/USDT Top,$0.1254,2mo,123,123,123,0%,0.01%,-1.82%,-18.48%,$430K,$819K
CHILLGUY/WETH Just a chill guy,$0.001761,1mo,131,131,131,-3.05%,8.69%,6.94%,-28.23%,$166K,$1.7M
INFRA/WETH infraX,$22.89,9mo,92,92,92,0%,0.24%,11.15%,23.89%,$1.1M,$22.8M
DEEP/SUI DEEP,$0.1269,1mo,"5,151","5,151","5,151",-0.65%,0.93%,10.37%,7.74%,$3.8M,$317.3M
PEAR/WETH PEAR AI,$0.01939,30d,139,139,139,0%,-0.94%,14.62%,20.94%,$209K,$1.8M
ARCAS/WBNB Arcas,$0.07595,1y,13,13,13,0%,0%,2.51%,2.38%,$924K,$7.5M
VAR/SOL Voice Artificial,$0.002575,30d,"3,990","3,990","3,990",-1.30%,1.52%,-15.86%,-24.15%,$233K,$2.5M
MIRAI/WETH MIRAI,$0.007961,4mo,203,203,203,-1.18%,-2.53%,-2.56%,10.50%,$417K,$7.9M
SPORE/SOL SPORE,$0.05673,8d,"6,346","6,346","6,346",0.24%,-3.71%,9.16%,11.37%,$163K,$56.7M
STUDOG/SOL student dog,$0.0004854,15d,"6,981","6,981","6,981",-2.44%,-9.37%,41.62%,489%,$95K,$485K
ONLYBLINK/SOL OnlyBlink,$0.002910,6mo,"1,339","1,339","1,339",5.57%,9.27%,42.08%,93.81%,$391K,$2.8M
ISLAND/WETH ISLAND,$0.1344,17d,132,132,132,0%,-3.72%,-4.01%,-5.35%,$1.2M,$21.3M
KEK/WETH Kekistan,$0.041758,7mo,106,106,106,0%,-2.20%,6.00%,0.21%,$629K,$7.3M
HERIA/SOL ASTHERIA,$0.001090,1mo,"2,043","2,043","2,043",6.31%,12.89%,6.75%,-3.54%,$170K,$1.0M
MAD/SOL MAD,$0.042786,5mo,"2,897","2,897","2,897",-0.71%,1.41%,1.33%,-4.46%,$1.2M,$27.8M
CRYORAT/WETH CRYORAT,$0.2340,29d,54,54,54,0%,0%,12.58%,28.18%,$534K,$1.8M
ANDY/WBNB ANDY,$0.071635,26d,26,26,26,0%,0.60%,0.29%,-4.92%,$113K,$1.6M
LUSH/WETH LushAI,$0.002359,3mo,206,206,206,2.06%,4.07%,7.31%,-28.83%,$1.3M,$13.8M
CHEX/WETH Chintai Exchange Token,$0.4955,1y,206,206,206,0%,-0.11%,-1.38%,-2.92%,$6.3M,$176.6M
ALGT/WETH AlgoTrade,$0.006060,1mo,70,70,70,1.07%,9.40%,17.00%,29.15%,$120K,$545K
AILIVE/SOL ailive,$0.01069,12h,"5,590","5,590","5,590",4.39%,-5.75%,-20.48%,94.66%,$44K,$10.6M
Wizard/SOL Finance Wizard ,$0.001202,1mo,"2,003","2,003","2,003",0%,2.02%,34.65%,76.32%,$215K,$1.1M
stelAI/WETH StellaryAI,$0.005460,9mo,184,184,184,-0.08%,-1.14%,-3.56%,-6.97%,$200K,$3.6M
KEYCAT/WETH Keyboard Cat,$0.004641,9mo,"9,855","9,855","9,855",-0.19%,-0.16%,-0.32%,15.28%,$1.5M,$46.4M
CATALORIAN/WETH Catalorian,$0.005717,3mo,235,235,235,0.08%,0.70%,-0.18%,-4.35%,$595K,$5.4M
FROGE/WETH Froge,$0.088663,2mo,165,165,165,0%,-0.12%,-0.20%,-7.29%,$1.1M,$5.6M
BBTF/WBNB Blockbusters,$0.0001275,2y,8,8,8,0%,0%,-0.49%,-1.19%,$351K,$1.2M
BabyYolo/WBNB Baby Yolo,$0.0003979,9mo,10,10,10,0%,0%,-0.54%,-2.51%,$101K,$91K
WALLY/WETH Emotional Support Alligator,$0.0001307,1mo,167,167,167,0%,-1.63%,0.75%,10.17%,$211K,$1.2M
ARMA/WBNB ARMAVERSE,$0.048272,1y,11,11,11,0%,0%,-0.56%,-0.38%,$101K,$661K
BLAST/USDB Blast,$0.009312,6mo,174,174,174,0%,-0.07%,3.15%,0.06%,$141K,$222.9M
SCINET/WETH SciNet,$0.1158,24d,224,224,224,0%,0%,-2.81%,2.90%,$183K,$1.1M
SPECTRE/WETH SPECTRE AI,$3.83,1y,120,120,120,0%,0.55%,0.49%,-0.26%,$1.4M,$38.3M
COFFEE/WETH COFFEE,$0.09382,2mo,119,119,119,0%,-0.28%,11.10%,-3.93%,$490K,$9.3M
RLB/WETH Rollbit Coin,$0.1077,1y,169,169,169,0%,-0.10%,-0.75%,-7.68%,$2.3M,$247.6M
DUCKY/WETH Ducky,$0.052100,1mo,54,54,54,0%,0.87%,27.45%,51.57%,$214K,$883K
KAI/WETH Kai Ken,$0.071226,6mo,94,94,94,0%,-0.76%,3.87%,23.06%,$474K,$5.1M
CATBOY/WBNB Catboy,$0.01439,10mo,15,15,15,0%,0%,-0.60%,-1.42%,$216K,$2.7M
OSEAN/WBNB Osean,$0.0009822,1y,8,8,8,0%,0%,-0.64%,-1.81%,$185K,$834K
SHOKI/WBNB Shoki,$0.079001,9mo,4,4,4,0%,0%,-0.18%,-0.39%,$131K,$81K
CRP/WBNB CryptoPeso,$0.1083,1y,23,23,23,0%,0%,-0.50%,-2.14%,$100K,$2.4M
TRUNK/WBNB Elephant Money Stable,$0.1326,2y,125,125,125,0%,0.02%,0.23%,-0.69%,$1.2M,$16.1M
KOMA/WBNB Koma Inu,$0.1193,-,303,303,303,0%,-0.51%,2.19%,0.86%,$145K,$80.9M
KOL/WETH ProtoKOLs,$1.75,2mo,82,82,82,0%,-1.39%,-1.67%,-2.18%,$1.1M,$11.8M
USACOIN/WETH USAcoin,$0.04757,12d,212,212,212,2.06%,1.39%,20.63%,-13.84%,$161K,$999K
AIUS/WETH Arbius,$103.08,10mo,174,174,174,0%,-1.73%,0.65%,22.41%,$1.0M,$21.8M
NUT/SOL NUT,$0.003359,10d,"1,699","1,699","1,699",0.12%,2.33%,18.65%,16.47%,$226K,$3.3M
KIP/WETH KIP Protocol,$0.02419,24d,88,88,88,0%,0.24%,-2.49%,-10.55%,$162K,$30.0M
BIAO/SOL BIAO,$0.007988,1mo,"3,114","3,114","3,114",-1.30%,-4.86%,6.61%,7.38%,$512K,$7.9M
PIRATE/WBNB PirateCash,$0.02334,11mo,378,378,378,-0.05%,-0.12%,0.14%,0.38%,$178K,$1.4M
ALVA/WETH Alvara,$0.3111,8mo,161,161,161,0%,0.39%,-1.12%,-14.06%,$485K,$14.3M
BABYSHARK/WBNB Baby Shark,$0.0121169,11mo,5,5,5,0%,0.28%,0.12%,0.12%,$75K,$48K
GLS/WETH Glacier Network,$0.01319,16d,170,170,170,0%,0.57%,-9.56%,1.46%,$368K,$1.5M
M87/WETH Messier,$0.047860,1y,126,126,126,0%,0.06%,1.15%,11.71%,$2.6M,$69.5M
TP/SOL trump pump,$0.0002638,1mo,"5,091","5,091","5,091",-8.36%,-15.80%,11.35%,11.24%,$67K,$263K
PENGU/USDC Pudgy Penguins,$0.03460,16d,"6,401","6,401","6,401",1.64%,-1.11%,-4.87%,-7.76%,$4.7M,$2.17B
ZKGPT/WETH ZKGPT,$0.0005573,16d,65,65,65,0%,-1.67%,3.43%,36.29%,$132K,$557K
KAAI/WETH KANZZAI,$0.1154,1mo,100,100,100,0%,5.73%,17.90%,23.67%,$423K,$11.5M
Claude/SOL Claude,$0.004089,2mo,"4,295","4,295","4,295",0.66%,-3.53%,-5.74%,0.92%,$395K,$4.0M
Kekec/WETH The Balkan Dwarf,$0.0003350,1y,68,68,68,0%,3.12%,3.74%,2.11%,$1.2M,$13.0M
XEN/WETH XEN Crypto,$0.061546,2y,67,67,67,0%,-0.02%,-2.08%,-10.62%,$492K,$25.7M
PORK/WETH PepeFork,$0.078381,11mo,147,147,147,0%,0.06%,-3.00%,-5.90%,$2.0M,$27.6M
Kendu/WETH Kendu Inu,$0.042945,10mo,100,100,100,0.15%,2.50%,-1.46%,-3.65%,$1.1M,$29.3M
DRAGONX/TITANX DragonX,$0.056626,11mo,141,141,141,0%,0.23%,2.57%,0.43%,$3.9M,$32.9M
LDR/USDC Lander,$0.002066,14d,597,597,597,0%,0.10%,0.15%,-0.04%,$203K,$2.0M
LNQ/WETH LinqAI,$0.1350,10mo,83,83,83,0%,-0.34%,4.70%,5.79%,$2.8M,$23.3M
EBULL/WETH ETHEREUM IS GOOD,$0.0003800,4mo,120,120,120,0%,1.16%,-0.33%,-4.25%,$412K,$3.8M
WINFO/SOL Winfo,$0.0001493,1d,"20,460","20,460","20,460",6.21%,-9.15%,-46.05%,-92.58%,$66K,$149K
$DJT4700/WETH DJT4700 ,$0.0008475,2mo,139,139,139,0%,-3.53%,-3.67%,47.95%,$124K,$822K
CPAL/WETH chainpal,$0.7345,3mo,71,71,71,-1.09%,-6.08%,-4.74%,-21.42%,$690K,$5.8M
SHFL/USDC Shuffle,$0.1943,9mo,123,123,123,-0.13%,0.18%,-7.26%,-10.74%,$6.3M,$22.2M
KIKI/SOL KIKICat,$0.05554,12d,170,170,170,-0.16%,-3.90%,11.35%,6.65%,$677K,$55.5M
SLAP/WETH Catslap,$0.002490,1mo,172,172,172,0%,0.13%,0.21%,-2.35%,$3.6M,$19.8M
SOLO/WETH Solo,$0.004272,29d,96,96,96,0%,-2.73%,7.77%,30.38%,$297K,$4.2M
REKT/WETH Rekt,$0.061655,1mo,116,116,116,0%,0.19%,0.18%,-7.05%,$2.9M,$69.6M
IX/WETH illumineX Token,$0.07360,7mo,39,39,39,0%,2.30%,25.86%,30.96%,$269K,$1.1M
ZGEN/WETH Zegent AI,$0.002127,3mo,96,96,96,0%,6.16%,-10.32%,-14.85%,$205K,$1.7M
AVAC/WBNB AvaCoach,$0.002444,5mo,84,84,84,0%,0.23%,-0.17%,-1.20%,$273K,$1.8M
GEKKO/VIRTUAL Gekko AI by Virtuals,$0.02496,14d,"2,340","2,340","2,340",-2.11%,-2.09%,4.30%,0.82%,$1.7M,$24.9M
TERMINUS/WETH First City in Mars,$0.1775,4mo,96,96,96,-0.16%,0.29%,3.06%,-1.61%,$1.1M,$17.7M
BIRDDOG/WETH Bird Dog,$0.041208,9mo,92,92,92,0%,-7.04%,-12.49%,4.62%,$568K,$5.0M
ZIG/WETH ZigCoin,$0.1172,3y,138,138,138,0%,0.32%,-1.30%,-0.99%,$1.9M,$165.7M
HMC/WBNB Hamster Champ,$0.01549,3mo,"1,112","1,112","1,112",-0.13%,-0.17%,0.10%,-1.38%,$3.3M,$15.4M
TBANK/WETH TaoBank,$0.1807,10mo,42,42,42,0%,3.71%,16.35%,28.54%,$100K,$2.7M
GARY/WETH Elons Pet Snail,$0.01473,1mo,158,158,158,0%,4.07%,-19.07%,-44.63%,$117K,$648K
HONK/WETH Pepoclown,$0.087782,7mo,50,50,50,0%,-1.24%,14.87%,26.77%,$429K,$3.2M
FLOKI/WETH FLOKI,$0.0001868,2y,108,108,108,-0.15%,0.91%,1.93%,0.26%,$22.8M,$1.80B
CATANA/SOL Catana,$0.008722,2mo,"4,283","4,283","4,283",0.59%,6.17%,4.49%,-23.40%,$775K,$8.7M
FAI/WETH FAI,$0.03883,1mo,846,846,846,-0.10%,-0.46%,-14.29%,-17.50%,$4.3M,$318.0M
OPSEC/WETH OpSec,$0.08534,1mo,120,120,120,1.52%,3.06%,11.01%,0.72%,$753K,$8.1M
PROS/EDU Prosper,$0.5675,1y,161,161,161,-0.06%,-0.89%,-0.18%,-3.17%,$151K,$29.1M
DXY/WETH US Degen Index 6900,$0.001017,2mo,59,59,59,0%,0%,4.29%,59.41%,$179K,$1.0M
CRX/WETH Cerebro,$0.2026,26d,97,97,97,0%,3.94%,-1.11%,-3.82%,$284K,$2.0M
EVDC/WBNB EVDC,$0.042594,1y,21,21,21,0%,0.22%,-0.81%,-0.65%,$125K,$3.2M
BCCoin/USDT BlackCardCoin,$0.1268,4mo,75,75,75,0%,-0.61%,0.38%,-0.66%,$130K,$1.2M
DRIP/WETH DRIP,$0.06226,5mo,83,83,83,0%,0.25%,0.43%,-15.21%,$346K,$4.1M
MDOGE/COCO Mars Doge,$0.054330,24d,89,89,89,0%,1.82%,-9.91%,-27.04%,$136K,$826K
KIBSHI/WETH KiboShib,$0.041921,2y,144,144,144,0%,0.57%,1.24%,18.79%,$957K,$19.2M
KingCat/WBNB King Cat,$0.0123483,10mo,8,8,8,0%,0%,-0.69%,-0.91%,$146K,$129K
PEPE/WETH El Sapo Pepe,$0.0004677,17d,163,163,163,-2.43%,-11.67%,-12.03%,-25.51%,$112K,$322K
BLAST/WETH Blast,$0.009287,6mo,84,84,84,0%,0%,2.37%,0.42%,$482K,$222.3M
CSWAP/WETH ChainSwap,$0.04670,9mo,121,121,121,0%,-2.87%,-2.14%,2.88%,$1.8M,$44.6M
MBGA/WBNB Make BNBCHAIN Great Again,$0.001089,1mo,9,9,9,0%,0%,-0.03%,-1.11%,$162K,$1.0M
Yoko/SOL Yoko,$0.043310,8h,"5,947","5,947","5,947",-3.58%,-34.40%,-47.34%,-60.38%,$22K,$33K
BTCACT/WETH BITCOIN Act,$0.06094,1mo,89,89,89,0%,5.86%,40.38%,138%,$109K,$609K
SPX2.0/WETH SPX6900 2.0,$0.0007391,2mo,155,155,155,0%,4.86%,3.53%,63.87%,$135K,$722K
DUSTY/WETH Dusty,$0.081304,26d,131,131,131,0%,-0.27%,-9.17%,-14.26%,$106K,$548K
BONE/WETH FLEABONE,$0.041658,2mo,120,120,120,0%,-1.47%,-12.23%,-3.32%,$278K,$6.9M
YES/WETH YES,$4.33,10mo,12,12,12,0%,0%,0.16%,-0.49%,$369.0M,$373.5M
GrokCat/WBNB Grok Cat,$0.042690,9mo,5,5,5,0%,0.47%,-0.15%,-0.22%,$127K,$109K
JTT/WBNB Justus Token,$0.01434,1y,4,4,4,0%,0%,-0.15%,-0.13%,$160K,$286K
RYU/WETH RyuJin,$0.071170,11mo,139,139,139,-0.09%,0.10%,0.63%,-1.71%,$752K,$11.7M
CRAZE/WETH Craze,$0.007438,20d,39,39,39,0%,0%,0.88%,-0.93%,$262K,$7.4M
AITECH/USDT AITECH,$0.08638,1y,326,326,326,-0.02%,0.97%,0.58%,-4.76%,$343K,$93.4M
OPM/WETH OpMentis,$0.03305,1mo,82,82,82,0%,0%,2.80%,-14.00%,$314K,$2.3M
FEFE/WETH Fefe,$0.005568,5mo,66,66,66,0%,-1.32%,-0.17%,-10.21%,$285K,$2.3M
WICKED/WETH Wicked,$0.001477,3mo,42,42,42,0%,-1.07%,-5.02%,-10.44%,$199K,$1.4M
VDO/WETH Validao,$1.32,1y,61,61,61,0%,0.98%,-1.50%,-20.57%,$1.1M,$12.1M
KLAUS/WETH Klaus,$0.005790,2mo,69,69,69,0%,1.49%,2.58%,-7.34%,$441K,$5.7M
UP/WETH UP,$0.009291,6mo,4,4,4,0%,0%,0%,-0.27%,$611K,$737K
FLAP/WETH Flappy Blast,$0.007145,6mo,1,1,1,0%,0%,0%,0%,$286K,$286K
SQUID/BTCB Squid Game,$0.007953,3y,106,106,106,0%,0%,0%,-0.86%,$122K,$6.0M
FINK/WBNB FINK,$0.004751,1y,4,4,4,0%,0%,0%,-0.03%,$143K,$99K
QUBY/WETH QUBY,$0.03928,1y,34,34,34,0%,7.79%,23.41%,35.90%,$450K,$3.9M
HammieMae/SOL Hammie Mae,$0.0004773,2d,"2,503","2,503","2,503",-0.87%,-7.83%,-3.55%,80.28%,$91K,$477K
BIC/WBNB BIC,$0.002861,5mo,71,71,71,0%,0%,-3.24%,-12.40%,$206K,$2.8M
BRETT/WETH Brett,$0.1893,1y,86,86,86,0%,0.08%,-5.29%,-8.08%,$555K,$12.9M
ARC/WETH ARC,$0.04029,2y,143,143,143,0%,-0.11%,7.92%,-0.30%,$1.0M,$39.0M
HUSBY/WETH HUSBY,$0.04927,3mo,49,49,49,0%,0.40%,3.53%,-6.51%,$633K,$4.1M
AIT/WETH AIT Protocol,$0.06555,1y,131,131,131,-0.11%,0.64%,-3.92%,-7.82%,$1.2M,$18.7M
TWEET/WETH TWEET,$0.1629,21d,52,52,52,0%,0%,-2.17%,-17.10%,$153K,$1.1M
WILD/WETH Wilder,$0.6966,3y,189,189,189,0%,0.29%,0.53%,2.00%,$7.7M,$225.9M
BABYPEPE/WETH Baby Pepe,$0.041420,7mo,108,108,108,0%,0.30%,2.59%,-8.31%,$472K,$5.9M
ELON/WETH Elon,$0.053348,8mo,60,60,60,0%,2.94%,4.99%,-10.91%,$496K,$2.2M
OSCAR/WETH Oscar,$0.003076,3mo,55,55,55,0.44%,-5.11%,-5.52%,-13.47%,$324K,$2.7M
DOGE20/WETH Dogecoin20,$0.041168,8mo,27,27,27,0%,15.83%,21.12%,10.19%,$194K,$1.6M
KARRAT/WETH KarratCoin,$0.3837,8mo,123,123,123,1.81%,-0.28%,-3.07%,2.29%,$477K,$68.5M
HYDRA/DRAGONX HYDRA,$0.068057,3mo,80,80,80,0%,0.58%,2.95%,1.38%,$3.5M,$5.8M
GMAC/WETH Gemach,$0.007149,1y,100,100,100,0%,-0.06%,-9.38%,27.82%,$386K,$3.5M
DRAGGY/WETH Draggy,$0.086374,8mo,67,67,67,-0.32%,0.48%,8.08%,17.77%,$357K,$2.6M
SHOGUN/X28 SHOGUN,$0.003902,1mo,98,98,98,0%,1.06%,9.48%,20.28%,$747K,$7.7M
DKING/WETH draiftking,$0.9123,3d,"3,292","3,292","3,292",-0.33%,-0.73%,-3.88%,-25.51%,$709K,$19.1M
MicroDoge/WBNB MicroDoge,$0.0121566,3mo,13,13,13,0%,0%,-0.18%,-1.26%,$95K,$65K
VC/USDT VinuChain,$0.02206,1y,415,415,415,0%,0.06%,2.21%,4.40%,$196K,$4.9M
CHEESE/SOL Cheese,$0.001544,1mo,238,238,238,0%,-0.75%,0.56%,-15.53%,$188K,$1.5M
VOLT/TITANX VOLT.WIN,$0.006392,3mo,117,117,117,0%,-1.93%,1.95%,-4.72%,$1.7M,$3.8M
CETUS/SUI CETUS Token,$0.3228,1y,"7,250","7,250","7,250",-0.38%,0.17%,3.26%,3.04%,$9.6M,$322.8M
MARS/WETH Mars,$0.056413,3mo,43,43,43,0%,3.52%,3.59%,7.33%,$391K,$2.6M
FJO/WETH Fjord Foundry,$0.7376,8mo,63,63,63,0%,1.92%,-0.86%,-0.38%,$4.0M,$27.5M
$SPEEDY/WETH SPEEDY,$0.003679,3mo,99,99,99,0%,0%,8.14%,-14.76%,$319K,$3.6M
BEBE/WETH BEBE,$0.071880,1y,43,43,43,0%,0.37%,3.49%,5.21%,$397K,$1.6M
NOBL/WETH NOBLEBLOCKS,$0.008948,9mo,55,55,55,0%,-0.16%,-14.46%,-17.90%,$914K,$4.2M
RSN/WETH Resonator,$0.05433,2mo,51,51,51,0%,0.54%,0.22%,16.65%,$394K,$5.4M
ZYN/WETH ZynCoin,$0.02993,1y,99,99,99,-2.74%,-2.42%,-1.10%,6.00%,$1.7M,$27.0M
EDGE/WETH Edge,$1.00,8mo,66,66,66,0%,-2.60%,-2.25%,5.07%,$1.3M,$41.6M
SUDO/WETH Sudo Labs,$1.30,1mo,77,77,77,0%,0.46%,-7.76%,12.60%,$161K,$1.3M
ZERO/SOL ZEROAI,$0.0005383,6d,"3,578","3,578","3,578",5.92%,-16.88%,5.86%,15.83%,$119K,$538K
HAPPY/SOL Happy Cat,$0.01043,1mo,"5,999","5,999","5,999",0.32%,-1.56%,1.80%,-2.95%,$1.0M,$34.9M
NFNT/WETH nfinityAI,$0.09902,7mo,135,135,135,0%,-0.86%,-3.09%,9.22%,$597K,$9.8M
ZKAI/WETH ZKCrypt AI,$0.4586,2mo,43,43,43,0%,0.09%,-0.19%,-4.33%,$362K,$4.5M
PNUT/WETH Peanut,$0.1133,2mo,52,52,52,0%,4.22%,-3.24%,-3.97%,$234K,$1.1M
TEE/WETH Tee_Hee_He,$0.001804,2mo,44,44,44,0%,0.74%,-6.45%,-4.52%,$311K,$1.8M
CHAT/WETH VectorChat.ai,$0.1328,1y,28,28,28,0.44%,1.77%,4.67%,8.05%,$705K,$9.9M
AIKEK/WETH AlphaKEK.AI,$0.03393,1y,91,91,91,0%,0.78%,4.14%,10.51%,$637K,$8.1M
GATSBY/WETH GATSBY,$0.2978,2mo,101,101,101,0%,-0.42%,0.88%,20.69%,$1.5M,$17.1M
HEX/WETH HEX,$0.002724,3y,60,60,60,0%,-1.65%,3.50%,-8.67%,$286K,$1.64B
TROG/WETH Trog,$0.041702,7mo,127,127,127,0%,0.23%,1.16%,0%,$648K,$7.1M
$WELF/WETH welf,$3.17,14d,247,247,247,0%,0.09%,-2.73%,2.09%,$244K,$11.6M
